#月,日,時,分,傾斜面日射強度,直達日射強度,散乱光日射強度,反射光日射強度,水平面日射強度,PV電力,発電電力,PV電圧,PV電流,PV温度,外気温度,システム出力係数,PV効率,PV電力(定格比),発電電力(定格比)
#月,日,時,分,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW,kW,V,A,℃,℃,%,%,kW/kWp,kW/kWp
4,9,4,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.50,16.50,0.00,0.00,0.00,0.00
4,9,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,16.00,0.00,0.00,0.00,0.00
4,9,5,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.50,15.50,0.00,0.00,0.00,0.00
4,9,6,0,0.02,0.00,0.02,0.00,0.02,1.94,1.90,337.43,5.75,16.40,15.75,103.02,23.96,0.02,0.02
4,9,6,30,0.05,0.00,0.04,0.00,0.05,3.99,3.91,352.39,11.31,17.60,16.00,85.89,19.98,0.04,0.04
4,9,7,0,0.09,0.01,0.08,0.00,0.09,7.64,7.50,365.00,20.93,19.48,16.40,85.65,19.92,0.08,0.08
4,9,7,30,0.14,0.01,0.12,0.00,0.14,11.64,11.43,372.28,31.26,21.43,16.80,86.75,20.18,0.12,0.12
4,9,8,0,0.27,0.08,0.18,0.00,0.26,20.24,19.87,383.09,52.82,26.39,17.25,76.43,17.78,0.21,0.21
4,9,8,30,0.40,0.16,0.24,0.00,0.39,30.34,29.79,379.40,79.96,31.35,17.70,76.69,17.84,0.31,0.31
4,9,9,0,0.39,0.11,0.29,0.00,0.38,32.96,32.37,383.66,85.91,31.88,18.45,84.71,19.70,0.34,0.33
4,9,9,30,0.39,0.05,0.34,0.00,0.38,34.55,33.93,384.85,89.77,32.44,19.20,90.03,20.94,0.36,0.35
4,9,10,0,0.33,0.03,0.30,0.00,0.33,29.37,28.84,381.91,76.91,30.31,19.15,90.81,21.12,0.30,0.30
4,9,10,30,0.27,0.00,0.26,0.00,0.27,23.75,23.32,380.05,62.50,28.12,19.10,90.84,21.13,0.25,0.24
4,9,11,0,0.28,0.00,0.28,0.00,0.28,25.01,24.56,380.51,65.73,28.65,19.15,90.83,21.13,0.26,0.25
4,9,11,30,0.29,0.00,0.29,0.00,0.29,26.27,25.80,380.92,68.97,29.18,19.20,90.82,21.12,0.27,0.27
4,9,12,0,0.28,0.00,0.27,0.00,0.28,24.89,24.44,380.42,65.43,28.66,19.20,90.82,21.12,0.26,0.25
4,9,12,30,0.26,0.00,0.26,0.00,0.26,23.51,23.08,379.85,61.89,28.13,19.20,90.81,21.12,0.24,0.24
4,9,13,0,0.27,0.00,0.27,0.00,0.27,24.12,23.69,379.97,63.49,28.52,19.35,90.78,21.11,0.25,0.24
4,9,13,30,0.28,0.00,0.27,0.00,0.28,24.74,24.29,380.07,65.09,28.91,19.50,90.75,21.11,0.26,0.25
4,9,14,0,0.39,0.07,0.32,0.00,0.38,35.12,34.49,382.81,91.76,32.77,19.40,90.63,21.08,0.36,0.36
4,9,14,30,0.50,0.14,0.37,0.00,0.49,44.71,43.91,384.76,116.20,36.40,19.30,90.24,20.99,0.46,0.45
4,9,15,0,0.55,0.29,0.27,0.00,0.53,49.15,48.21,384.83,127.73,37.99,19.15,89.89,20.93,0.51,0.50
4,9,15,30,0.60,0.43,0.16,0.00,0.56,52.92,49.50,384.75,137.53,39.34,19.00,85.52,20.88,0.55,0.51
4,9,16,0,0.50,0.35,0.14,0.00,0.47,44.39,43.59,385.59,115.12,35.43,18.50,90.46,21.04,0.46,0.45
4,9,16,30,0.40,0.27,0.12,0.00,0.38,35.70,35.06,384.28,92.91,31.54,18.00,90.95,21.15,0.37,0.36
4,9,17,0,0.26,0.16,0.10,0.00,0.26,23.79,23.36,381.99,62.27,26.04,17.05,91.31,21.24,0.25,0.24
4,9,17,30,0.14,0.05,0.09,0.00,0.13,12.17,11.95,373.09,32.62,20.70,16.10,91.25,21.22,0.13,0.12
4,9,18,0,0.07,0.02,0.05,0.00,0.07,6.51,6.39,362.47,17.95,17.99,15.55,91.85,21.36,0.07,0.07
4,9,18,30,0.02,0.00,0.02,0.00,0.02,1.88,1.85,337.59,5.58,15.63,15.00,103.98,24.18,0.02,0.02
4,9,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.85,14.85,0.00,0.00,0.00,0.00
4,9,19,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.70,14.70,0.00,0.00,0.00,0.00
4,9,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.80,14.80,0.00,0.00,0.00,0.00
4,9,20,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.90,14.90,0.00,0.00,0.00,0.00
4,9,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.55,14.55,0.00,0.00,0.00,0.00
4,9,21,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.20,14.20,0.00,0.00,0.00,0.00
4,9,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.90,13.90,0.00,0.00,0.00,0.00
4,9,22,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.60,13.60,0.00,0.00,0.00,0.00
4,9,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,13.30,0.00,0.00,0.00,0.00
4,9,23,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,13.00,0.00,0.00,0.00,0.00
4,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00
4,10,0,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00
4,10,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.25,12.25,0.00,0.00,0.00,0.00
4,10,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,12.00,0.00,0.00,0.00,0.00
4,10,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,11.50,0.00,0.00,0.00,0.00
4,10,2,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,11.00,0.00,0.00,0.00,0.00
4,10,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,11.00,0.00,0.00,0.00,0.00
4,10,3,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,11.00,0.00,0.00,0.00,0.00
4,10,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.90,10.90,0.00,0.00,0.00,0.00
4,10,4,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.80,10.80,0.00,0.00,0.00,0.00
4,10,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.90,10.90,0.00,0.00,0.00,0.00
4,10,5,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,11.00,0.00,0.00,0.00,0.00
4,10,6,0,0.01,0.00,0.01,0.00,0.01,1.18,1.15,332.16,3.54,11.78,11.45,123.95,28.83,0.01,0.01
4,10,6,30,0.02,0.00,0.02,0.00,0.02,1.99,1.96,342.56,5.82,12.56,11.90,103.79,24.14,0.02,0.02
4,10,7,0,0.04,0.00,0.04,0.00,0.04,4.09,4.01,356.09,11.47,13.89,12.40,94.49,21.98,0.04,0.04
4,10,7,30,0.07,0.00,0.07,0.00,0.07,6.23,6.11,364.04,17.10,15.22,12.90,92.59,21.53,0.06,0.06
4,10,8,0,0.08,0.00,0.07,0.00,0.08,6.83,6.71,365.68,18.68,15.35,12.80,92.40,21.49,0.07,0.07
4,10,8,30,0.08,0.00,0.08,0.00,0.08,7.44,7.31,367.18,20.27,15.48,12.70,92.28,21.46,0.08,0.08
4,10,9,0,0.08,0.00,0.08,0.00,0.08,7.33,7.19,367.22,19.95,15.09,12.35,92.38,21.49,0.08,0.07
4,10,9,30,0.08,0.00,0.08,0.00,0.08,7.21,7.08,367.25,19.63,14.69,12.00,92.49,21.51,0.07,0.07
4,10,10,0,0.11,0.00,0.11,0.00,0.11,9.57,9.39,371.91,25.72,15.43,11.85,92.22,21.45,0.10,0.10
4,10,10,30,0.13,0.00,0.13,0.00,0.13,11.95,11.73,376.61,31.73,16.17,11.70,92.21,21.45,0.12,0.12
4,10,11,0,0.13,0.00,0.12,0.00,0.13,11.47,11.26,376.16,30.48,15.79,11.50,92.25,21.45,0.12,0.12
4,10,11,30,0.12,0.00,0.12,0.00,0.12,10.99,10.79,375.68,29.24,15.41,11.30,92.29,21.47,0.11,0.11
4,10,12,0,0.12,0.00,0.12,0.00,0.13,11.36,11.15,376.26,30.18,15.45,11.20,92.31,21.47,0.12,0.12
4,10,12,30,0.13,0.00,0.13,0.00,0.13,11.73,11.52,376.83,31.12,15.48,11.10,92.33,21.47,0.12,0.12
4,10,13,0,0.12,0.00,0.12,0.00,0.13,11.35,11.15,376.46,30.15,15.19,10.95,92.36,21.48,0.12,0.12
4,10,13,30,0.12,0.00,0.12,0.00,0.12,10.97,10.78,376.08,29.18,14.90,10.80,92.39,21.49,0.11,0.11
4,10,14,0,0.12,0.00,0.12,0.00,0.12,10.58,10.39,375.24,28.21,15.11,11.15,92.33,21.47,0.11,0.11
4,10,14,30,0.11,0.00,0.11,0.00,0.11,10.20,10.01,374.37,27.24,15.31,11.50,92.26,21.46,0.11,0.10
4,10,15,0,0.13,0.00,0.13,0.00,0.14,12.19,11.97,376.78,32.35,16.41,11.85,92.18,21.44,0.13,0.12
4,10,15,30,0.16,0.00,0.16,0.00,0.16,14.19,13.94,378.68,37.48,17.52,12.20,92.14,21.43,0.15,0.14
4,10,16,0,0.12,0.00,0.12,0.00,0.12,10.67,10.48,374.45,28.51,16.25,12.25,92.09,21.42,0.11,0.11
4,10,16,30,0.08,0.00,0.08,0.00,0.08,7.21,7.08,366.99,19.63,14.99,12.30,92.42,21.49,0.07,0.07
4,10,17,0,0.06,0.00,0.06,0.00,0.06,5.15,5.06,360.28,14.30,14.10,12.20,93.36,21.71,0.05,0.05
4,10,17,30,0.03,0.00,0.03,0.00,0.03,3.15,3.09,350.62,8.99,13.22,12.10,96.68,22.49,0.03,0.03
4,10,18,0,0.02,0.00,0.02,0.00,0.02,1.88,1.85,340.26,5.52,12.62,12.00,105.14,24.45,0.02,0.02
4,10,18,30,0.00,0.00,0.00,0.00,0.00,0.63,0.62,318.03,1.99,12.00,11.90,223.06,51.88,0.01,0.01
4,10,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.80,11.80,0.00,0.00,0.00,0.00
4,10,19,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.70,11.70,0.00,0.00,0.00,0.00
4,10,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.85,11.85,0.00,0.00,0.00,0.00
4,10,20,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,12.00,0.00,0.00,0.00,0.00
4,10,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.20,12.20,0.00,0.00,0.00,0.00
4,10,21,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.40,12.40,0.00,0.00,0.00,0.00
4,10,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.60,12.60,0.00,0.00,0.00,0.00
4,10,22,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.80,12.80,0.00,0.00,0.00,0.00
4,10,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,13.10,0.00,0.00,0.00,0.00
4,10,23,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40,13.40,0.00,0.00,0.00,0.00
4,11,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.30,14.30,0.00,0.00,0.00,0.00
4,11,0,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.30,14.30,0.00,0.00,0.00,0.00
4,11,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.55,14.55,0.00,0.00,0.00,0.00
4,11,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.80,14.80,0.00,0.00,0.00,0.00
4,11,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.80,14.80,0.00,0.00,0.00,0.00
4,11,2,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.80,14.80,0.00,0.00,0.00,0.00
4,11,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00
4,11,3,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.20,15.20,0.00,0.00,0.00,0.00
4,11,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.05,15.05,0.00,0.00,0.00,0.00
4,11,4,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.90,14.90,0.00,0.00,0.00,0.00
4,11,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.60,14.60,0.00,0.00,0.00,0.00
4,11,5,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.30,14.30,0.00,0.00,0.00,0.00
4,11,6,0,0.01,0.00,0.01,0.00,0.01,1.06,1.04,326.76,3.26,14.38,14.10,129.13,30.03,0.01,0.01
4,11,6,30,0.01,0.00,0.01,0.00,0.01,1.53,1.50,334.76,4.56,14.38,13.90,110.52,25.71,0.02,0.02
4,11,7,0,0.04,0.00,0.04,0.00,0.04,3.48,3.42,350.60,9.94,15.41,14.15,95.18,22.14,0.04,0.04
4,11,7,30,0.06,0.00,0.06,0.00,0.06,5.48,5.39,359.44,15.26,16.44,14.40,92.60,21.54,0.06,0.06
4,11,8,0,0.06,0.00,0.06,0.00,0.06,5.59,5.49,360.00,15.54,16.23,14.15,92.60,21.54,0.06,0.06
4,11,8,30,0.06,0.00,0.06,0.00,0.06,5.72,5.61,360.58,15.86,16.03,13.90,92.59,21.53,0.06,0.06
4,11,9,0,0.06,0.00,0.06,0.00,0.06,5.36,5.26,359.52,14.90,15.84,13.85,92.82,21.59,0.06,0.05
4,11,9,30,0.05,0.00,0.05,0.00,0.06,5.00,4.91,358.38,13.95,15.65,13.80,93.10,21.65,0.05,0.05
4,11,10,0,0.07,0.00,0.07,0.00,0.07,6.57,6.45,364.00,18.05,16.46,14.00,92.20,21.44,0.07,0.07
4,11,10,30,0.09,0.00,0.09,0.00,0.09,8.16,8.01,367.39,22.21,17.27,14.20,91.82,21.36,0.08,0.08
4,11,11,0,0.12,0.00,0.12,0.00,0.13,11.26,11.06,373.55,30.14,18.49,14.25,91.66,21.32,0.12,0.11
4,11,11,30,0.16,0.00,0.16,0.00,0.16,14.39,14.13,377.08,38.17,19.72,14.30,91.70,21.33,0.15,0.15
4,11,12,0,0.17,0.00,0.17,0.00,0.17,15.52,15.24,377.95,41.07,20.34,14.50,91.69,21.33,0.16,0.16
4,11,12,30,0.18,0.00,0.18,0.00,0.19,16.65,16.35,378.71,43.97,20.97,14.70,91.68,21.32,0.17,0.17
4,11,13,0,0.27,0.00,0.26,0.00,0.27,24.11,23.68,383.78,62.83,24.32,15.25,91.72,21.33,0.25,0.24
4,11,13,30,0.35,0.01,0.34,0.00,0.35,31.58,31.01,385.64,81.88,27.70,15.80,91.57,21.30,0.33,0.32
4,11,14,0,0.27,0.00,0.26,0.00,0.27,23.94,23.51,383.21,62.48,24.82,15.80,91.59,21.30,0.25,0.24
4,11,14,30,0.18,0.00,0.18,0.00,0.18,16.34,16.04,377.48,43.27,21.96,15.80,91.43,21.27,0.17,0.17
4,11,15,0,0.17,0.00,0.17,0.00,0.18,15.72,15.43,377.28,41.66,21.38,15.45,91.49,21.28,0.16,0.16
4,11,15,30,0.17,0.00,0.17,0.00,0.17,15.10,14.83,377.05,40.05,20.79,15.10,91.55,21.29,0.16,0.15
4,11,16,0,0.19,0.02,0.17,0.00,0.19,17.15,16.84,378.92,45.26,21.36,14.90,91.65,21.32,0.18,0.17
4,11,16,30,0.21,0.03,0.18,0.00,0.21,19.25,18.90,381.73,50.43,21.94,14.70,91.75,21.34,0.20,0.20
4,11,17,0,0.18,0.05,0.13,0.00,0.18,16.68,16.38,379.12,43.99,20.52,14.25,91.78,21.35,0.17,0.17
4,11,17,30,0.15,0.06,0.09,0.00,0.15,13.89,13.64,377.01,36.84,19.02,13.80,91.80,21.35,0.14,0.14
4,11,18,0,0.08,0.03,0.05,0.00,0.09,7.50,7.36,366.58,20.46,16.36,13.55,92.07,21.41,0.08,0.08
4,11,18,30,0.02,0.00,0.02,0.00,0.02,2.30,2.26,343.90,6.68,14.09,13.30,100.53,23.38,0.02,0.02
4,11,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,13.10,0.00,0.00,0.00,0.00
4,11,19,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.90,12.90,0.00,0.00,0.00,0.00
4,11,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.75,12.75,0.00,0.00,0.00,0.00
4,11,20,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.60,12.60,0.00,0.00,0.00,0.00
4,11,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.65,11.65,0.00,0.00,0.00,0.00
4,11,21,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.70,10.70,0.00,0.00,0.00,0.00
4,11,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.60,10.60,0.00,0.00,0.00,0.00
4,11,22,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,10.50,0.00,0.00,0.00,0.00
4,11,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,10.05,0.00,0.00,0.00,0.00
4,11,23,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.60,9.60,0.00,0.00,0.00,0.00
4,12,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00
4,12,0,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00
4,12,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.05,9.05,0.00,0.00,0.00,0.00
4,12,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.10,9.10,0.00,0.00,0.00,0.00
4,12,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.10,9.10,0.00,0.00,0.00,0.00
4,12,2,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.10,9.10,0.00,0.00,0.00,0.00
4,12,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.10,9.10,0.00,0.00,0.00,0.00
4,12,3,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.10,9.10,0.00,0.00,0.00,0.00
4,12,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.25,9.25,0.00,0.00,0.00,0.00
4,12,4,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.40,9.40,0.00,0.00,0.00,0.00
4,12,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.05,9.05,0.00,0.00,0.00,0.00
4,12,5,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,8.70,0.00,0.00,0.00,0.00
4,12,6,0,0.02,0.00,0.02,0.00,0.02,2.30,2.26,347.15,6.62,10.33,9.55,101.74,23.66,0.02,0.02
4,12,6,30,0.05,0.01,0.05,0.00,0.06,4.54,4.46,359.65,12.63,12.26,10.40,84.14,19.57,0.05,0.05
4,12,7,0,0.16,0.09,0.07,0.00,0.16,9.13,8.96,359.80,25.36,17.31,11.80,57.19,13.30,0.09,0.09
4,12,7,30,0.28,0.17,0.10,0.00,0.27,15.81,15.53,361.35,43.77,22.69,13.20,57.49,13.37,0.16,0.16
4,12,8,0,0.40,0.27,0.13,0.00,0.38,23.83,23.40,347.95,68.48,27.98,14.50,61.01,14.19,0.25,0.24
4,12,8,30,0.51,0.37,0.14,0.00,0.49,33.74,33.14,355.05,95.04,33.12,15.80,67.21,15.63,0.35,0.34
4,12,9,0,0.47,0.23,0.24,0.00,0.45,37.06,36.39,376.72,98.37,31.60,15.55,79.67,18.53,0.38,0.38
4,12,9,30,0.43,0.09,0.34,0.00,0.42,38.00,37.32,390.83,97.23,29.83,15.30,90.22,20.98,0.39,0.39
4,12,10,0,0.59,0.26,0.33,0.00,0.56,52.58,49.50,387.44,135.71,36.56,16.50,86.72,21.04,0.54,0.51
4,12,10,30,0.75,0.43,0.32,0.00,0.71,66.03,49.50,384.38,171.78,43.30,17.70,67.95,20.70,0.68,0.51
4,12,11,0,0.69,0.32,0.37,0.00,0.66,60.86,49.50,384.48,158.28,41.81,18.30,73.99,20.77,0.63,0.51
4,12,11,30,0.63,0.22,0.41,0.00,0.60,55.93,49.50,384.57,145.44,40.45,18.90,80.73,20.83,0.58,0.51
4,12,12,0,0.71,0.31,0.40,0.00,0.68,62.43,49.50,383.65,162.73,42.99,18.80,71.89,20.71,0.65,0.51
4,12,12,30,0.79,0.39,0.39,0.00,0.75,68.75,49.50,382.62,179.69,45.53,18.70,64.84,20.57,0.71,0.51
4,12,13,0,0.82,0.50,0.32,0.00,0.77,70.87,49.50,381.97,185.53,46.59,18.85,62.71,20.50,0.73,0.51
4,12,13,30,0.84,0.60,0.23,0.00,0.79,72.71,49.50,381.34,190.67,47.54,19.00,60.95,20.45,0.75,0.51
4,12,14,0,0.79,0.54,0.25,0.00,0.74,68.64,49.50,382.27,179.56,45.81,19.00,64.89,20.55,0.71,0.51
4,12,14,30,0.74,0.47,0.26,0.00,0.69,64.46,49.50,383.07,168.26,44.05,19.00,69.43,20.65,0.67,0.51
4,12,15,0,0.65,0.41,0.24,0.00,0.62,57.49,49.50,384.50,149.52,40.97,18.80,78.45,20.81,0.59,0.51
4,12,15,30,0.57,0.34,0.22,0.00,0.54,50.33,49.10,385.36,130.61,37.88,18.60,89.48,20.95,0.52,0.51
4,12,16,0,0.48,0.31,0.17,0.00,0.46,43.15,42.37,386.18,111.73,34.32,17.90,90.68,21.09,0.45,0.44
4,12,16,30,0.40,0.27,0.13,0.00,0.38,35.75,35.11,385.07,92.85,30.74,17.20,91.14,21.20,0.37,0.36
4,12,17,0,0.25,0.14,0.10,0.00,0.24,22.55,22.14,382.07,59.01,24.86,16.35,91.45,21.27,0.23,0.23
4,12,17,30,0.11,0.02,0.09,0.00,0.11,9.80,9.62,369.16,26.54,19.20,15.50,91.40,21.26,0.10,0.10
4,12,18,0,0.06,0.01,0.05,0.00,0.06,5.35,5.25,358.58,14.92,16.89,14.90,92.56,21.53,0.06,0.05
4,12,18,30,0.01,0.00,0.01,0.00,0.01,1.50,1.47,334.01,4.48,14.77,14.30,111.07,25.83,0.02,0.02
4,12,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.55,13.55,0.00,0.00,0.00,0.00
4,12,19,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.80,12.80,0.00,0.00,0.00,0.00
4,12,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.05,12.05,0.00,0.00,0.00,0.00
4,12,20,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.30,11.30,0.00,0.00,0.00,0.00
4,12,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.60,10.60,0.00,0.00,0.00,0.00
4,12,21,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.90,9.90,0.00,0.00,0.00,0.00
4,12,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.20,9.20,0.00,0.00,0.00,0.00
4,12,22,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,8.50,0.00,0.00,0.00,0.00
4,12,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.95,7.95,0.00,0.00,0.00,0.00
4,12,23,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.40,7.40,0.00,0.00,0.00,0.00
4,13,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,6.40,0.00,0.00,0.00,0.00
4,13,0,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,6.40,0.00,0.00,0.00,0.00
4,13,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.15,6.15,0.00,0.00,0.00,0.00
4,13,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.90,5.90,0.00,0.00,0.00,0.00
4,13,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.75,5.75,0.00,0.00,0.00,0.00
4,13,2,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,5.60,0.00,0.00,0.00,0.00
4,13,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.70,5.70,0.00,0.00,0.00,0.00
4,13,3,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,5.80,0.00,0.00,0.00,0.00
4,13,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.55,5.55,0.00,0.00,0.00,0.00
4,13,4,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,5.30,0.00,0.00,0.00,0.00
4,13,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,0.00,0.00,0.00,0.00
4,13,5,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.90,4.90,0.00,0.00,0.00,0.00
4,13,6,0,0.02,0.00,0.02,0.00,0.02,2.33,2.29,350.50,6.64,6.58,5.80,102.61,23.87,0.02,0.02
4,13,6,30,0.08,0.03,0.05,0.00,0.08,4.88,4.79,363.74,13.42,9.36,6.70,63.32,14.73,0.05,0.05
4,13,7,0,0.18,0.10,0.07,0.00,0.18,9.69,9.52,362.55,26.73,14.96,8.90,55.13,12.82,0.10,0.10
4,13,7,30,0.28,0.18,0.10,0.00,0.28,16.10,15.81,363.58,44.29,20.77,11.10,57.45,13.36,0.17,0.16
4,13,8,0,0.40,0.28,0.12,0.00,0.39,24.21,23.78,348.89,69.40,27.31,13.55,60.70,14.12,0.25,0.25
4,13,8,30,0.52,0.38,0.14,0.00,0.50,33.85,33.24,350.67,96.52,33.70,16.00,65.96,15.34,0.35,0.34
4,13,9,0,0.62,0.47,0.15,0.00,0.59,44.85,42.38,342.51,130.95,38.10,16.95,70.40,17.02,0.46,0.44
4,13,9,30,0.72,0.55,0.17,0.00,0.68,61.49,49.43,371.96,165.31,42.50,17.90,70.60,20.06,0.64,0.51
