#月,日,時,分,傾斜面日射強度,直達日射強度,散乱光日射強度,反射光日射強度,水平面日射強度,PV電力,発電電力,PV電圧,PV電流,PV温度,外気温度,システム出力係数,PV効率,PV電力(定格比),発電電力(定格比)
#月,日,時,分,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW,kW,V,A,℃,℃,%,%,kW/kWp,kW/kWp
1,1,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,5.80,0.00,0.00,0.00,0.00
1,1,22,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.30,6.30,0.00,0.00,0.00,0.00
1,1,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,5.40,0.00,0.00,0.00,0.00
1,1,23,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,4.50,0.00,0.00,0.00,0.00
1,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,3.90,0.00,0.00,0.00,0.00
1,2,0,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,3.90,0.00,0.00,0.00,0.00
1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,3.40,0.00,0.00,0.00,0.00
1,2,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,2.90,0.00,0.00,0.00,0.00
1,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,1.90,0.00,0.00,0.00,0.00
1,2,2,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.90,0.00,0.00,0.00,0.00
1,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.40,0.00,0.00,0.00,0.00
1,2,3,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,1.90,0.00,0.00,0.00,0.00
1,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,1.15,0.00,0.00,0.00,0.00
1,2,4,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.00,0.00,0.00
1,2,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.55,0.00,0.00,0.00,0.00
1,2,5,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.70,0.00,0.00,0.00,0.00
1,2,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.90,0.00,0.00,0.00,0.00
